d	fi	anom	count
0.015	1.27235	1000	1000	
0.03	1.52367	1000	1000	
0	0.69115	715	1000	
0.03	1.14668	1000	1000	
0.035	0.172788	0	1000	
0.03	0.314159	0	1000	
0.005	1.05243	1000	1000	
0.005	0.439823	91	1000	
0.045	1.19381	1000	1000	
0.04	0.0942478	0	1000	
0.015	0.644026	582	1000	
0.04	1.08385	1000	1000	
0.015	0.0314159	0	1000	
0.015	0.84823	998	1000	
0	0.141372	0	1000	
0.02	0.0785398	0	1000	
0	0.15708	0	1000	
0.045	0.15708	0	1000	
0	0.549779	340	1000	
0.005	1.50796	1000	1000	
0.025	0.219911	0	1000	
0.04	1.44513	1000	1000	
0.02	1.52367	1000	1000	
0.02	0.958186	1000	1000	
0.03	0.706858	796	1000	
0.045	1.35088	1000	1000	
0.01	0.76969	935	1000	
0.01	0.109956	0	1000	
0.02	0.722566	809	1000	
0.025	0.628319	546	1000	
0.02	0.69115	766	1000	
0.015	1.46084	1000	1000	
0.035	0.832522	994	1000	
0.035	0.15708	0	1000	
0.045	1.16239	1000	1000	
0	0.361283	7	1000	
0.015	0.141372	0	1000	
0.045	0.973894	1000	1000	
0.015	0.015708	0	1000	
0.035	0.408407	45	1000	
0	0.973894	1000	1000	
0.005	0.455531	127	1000	
0.01	0.879646	999	1000	
0.01	1.36659	1000	1000	
0	0.172788	0	1000	
0.005	0.644026	559	1000	
0.02	0.879646	999	1000	
0.005	0.675442	660	1000	
0.03	0.738274	876	1000	
0.035	1.41372	1000	1000	
0.04	0.0471239	0	1000	
0.015	0.863938	999	1000	
0.01	1.19381	1000	1000	
0.02	0.706858	785	1000	
0.025	1.03673	1000	1000	
0.04	0.0628319	0	1000	
0.01	0.753982	891	1000	
0	1.36659	1000	1000	
0.005	0.408407	33	1000	
0	1.52367	1000	1000	
0.03	1.27235	1000	1000	
0.005	1.42942	1000	1000	
0.005	1.24093	1000	1000	
0.03	1.06814	1000	1000	
0.035	0.392699	19	1000	
0.04	1.25664	1000	1000	
0.015	0.408407	40	1000	
0.03	0.92677	1000	1000	
0.02	1.06814	1000	1000	
0.005	1.25664	1000	1000	
0.01	1.16239	1000	1000	
0.035	1.00531	1000	1000	
0.025	0.345575	0	1000	
0.02	1.3823	1000	1000	
0.04	0.911062	999	1000	
0.03	0.0942478	0	1000	
0.015	0.455531	112	1000	
0.04	1.31947	1000	1000	
0	0.706858	794	1000	
0.03	1.13097	1000	1000	
0.045	0.722566	830	1000	
0.03	1.55509	1000	1000	
0.035	1.36659	1000	1000	
0.025	0.596903	421	1000	
0.01	0.345575	5	1000	
0.035	0.329867	0	1000	
0.005	1.08385	1000	1000	
0.04	1.09956	1000	1000	
0.01	0.895354	1000	1000	
0.025	0.188496	0	1000	
0.035	1.16239	1000	1000	
0.015	1.24093	1000	1000	
0.015	1.44513	1000	1000	
0.025	0.392699	18	1000	
0	0.565487	321	1000	
0.01	0.518363	229	1000	
0.04	0.486947	175	1000	
0.045	1.20951	1000	1000	
0.04	0.628319	552	1000	
0.035	1.35088	1000	1000	
0.035	0.989602	1000	1000	
0.01	0.502655	238	1000	
0.03	1.25664	1000	1000	
0.025	1.1781	1000	1000	
0.015	0.424115	52	1000	
0.04	0.282743	0	1000	
0.045	1.41372	1000	1000	
0.005	0.251327	0	1000	
0.005	0.235619	0	1000	
0.01	0.549779	314	1000	
0.005	0.596903	446	1000	
0.03	1.09956	1000	1000	
0.035	0.801106	975	1000	
0.02	1.35088	1000	1000	
0	1.00531	1000	1000	
0.045	0.345575	1	1000	
0.005	1.09956	1000	1000	
0.02	1.36659	1000	1000	
0.025	0.644026	563	1000	
0.02	0.534071	282	1000	
0.01	1.35088	1000	1000	
0.04	0.0785398	0	1000	
0.03	0.895354	1000	1000	
0.035	0.518363	252	1000	
0.035	0.361283	5	1000	
0.035	1.22522	1000	1000	
0.01	0.329867	0	1000	
0.035	1.24093	1000	1000	
0.045	0.706858	782	1000	
0.035	1.19381	1000	1000	
0.025	0	0	1000	
0.04	1.46084	1000	1000	
0.02	0.942478	1000	1000	
0.045	1.02102	999	1000	
0.045	0.172788	0	1000	
0.03	0.911062	999	1000	
0.02	0.518363	243	1000	
0.04	0.895354	999	1000	
0.005	1.06814	1000	1000	
0.02	0.549779	324	1000	
0	1.1781	1000	1000	
0.045	0.361283	3	1000	
0.02	0.235619	0	1000	
0.045	0.188496	0	1000	
0.015	1.47655	1000	1000	
0.025	1.00531	1000	1000	
0.015	0.832522	991	1000	
0.045	0.581195	394	1000	
0.02	1.53938	1000	1000	
0.005	0.267035	0	1000	
0.01	0.314159	0	1000	
0.02	0.738274	849	1000	
0.005	1.46084	1000	1000	
0.01	0.69115	756	1000	
0.04	1.06814	1000	1000	
0	1.41372	1000	1000	
0.01	0.534071	295	1000	
0.03	0.69115	742	1000	
0	0.314159	1	1000	
0.045	1.39801	1000	1000	
0.025	1.47655	1000	1000	
0	1.33518	1000	1000	
0	0.534071	286	1000	
0.045	1.55509	1000	1000	
0	0.329867	0	1000	
0.02	0.109956	0	1000	
0.025	0.612611	492	1000	
0.025	0.832522	992	1000	
0.025	1.02102	1000	1000	
0.04	0.879646	998	1000	
0	0.125664	0	1000	
0.03	0.0785398	0	1000	
0.015	0.596903	458	1000	
0.01	1.14668	1000	1000	
0.02	0.502655	216	1000	
0	0.958186	1000	1000	
0.035	0.785398	954	1000	
0.015	0.612611	507	1000	
0	1.53938	1000	1000	
0.035	0.376991	11	1000	
0	0.989602	1000	1000	
0.045	1.00531	1000	1000	
0.02	0.251327	0	1000	
0.03	0.282743	0	1000	
0.04	1.28805	1000	1000	
0.03	0.298451	0	1000	
0.025	0.141372	0	1000	
0.04	1.30376	1000	1000	
0.025	1.46084	1000	1000	
0.03	0.722566	820	1000	
0.045	0.989602	1000	1000	
0.025	0.801106	967	1000	
0.015	0.15708	0	1000	
0.025	1.44513	1000	1000	
0.035	0.973894	1000	1000	
0.01	1.33518	1000	1000	
0	0.502655	208	1000	
0.045	0.141372	0	1000	
0.045	0.549779	314	1000	
0.01	1.1781	1000	1000	
0.015	1.25664	1000	1000	
0.03	0.439823	89	1000	
0.04	0.267035	0	1000	
0.01	0.722566	840	1000	
0.005	0.785398	951	1000	
0.04	0.92677	1000	1000	
0.025	0.172788	0	1000	
0.04	0.612611	503	1000	
0.045	1.42942	1000	1000	
0.01	1.3823	1000	1000	
0	1.39801	1000	1000	
0.015	1.28805	1000	1000	
0.015	0.816814	984	1000	
0.025	0.204204	0	1000	
0.04	0.455531	115	1000	
0.045	0.518363	251	1000	
0.04	0.235619	0	1000	
0.01	0.361283	2	1000	
0.02	1.08385	1000	1000	
0.01	0.0628319	0	1000	
0.025	1.16239	1000	1000	
0	1.14668	1000	1000	
0.035	0.816814	986	1000	
0.005	1.27235	1000	1000	
0.005	0.801106	978	1000	
0.02	1.55509	1000	1000	
0.04	1.33518	1000	1000	
0.035	1.02102	1000	1000	
0.03	0.879646	1000	1000	
0.015	0.439823	83	1000	
0.04	0.424115	70	1000	
0.025	0.329867	0	1000	
0.005	1.28805	1000	1000	
0.02	0.0471239	0	1000	
0.015	0.628319	537	1000	
0.03	0.0471239	0	1000	
0.04	0.863938	999	1000	
0.025	0.785398	954	1000	
0.015	0.989602	1000	1000	
0.04	0.251327	0	1000	
0.015	0	0	1000	
0.005	1.36659	1000	1000	
0.045	0.329867	0	1000	
0.01	1.52367	1000	1000	
0	0.581195	375	1000	
0.025	0.675442	697	1000	
0.045	0.424115	61	1000	
0	1.08385	1000	1000	
0.03	0.172788	0	1000	
0.02	0.785398	953	1000	
0.045	0.219911	0	1000	
0.025	0.0314159	0	1000	
0.02	0.816814	980	1000	
0	0	0	1000	
0.015	1.20951	1000	1000	
0.01	0.659734	651	1000	
0.025	0.015708	0	1000	
0	1.22522	1000	1000	
0.045	0.376991	14	1000	
0.01	0.675442	713	1000	
0.01	0.628319	551	1000	
0.03	0.219911	0	1000	
0.015	1.55509	1000	1000	
0.005	0.204204	0	1000	
0.025	1.50796	1000	1000	
0.035	0.204204	0	1000	
0.02	0.015708	0	1000	
0.025	0.471239	150	1000	
0.015	0.675442	718	1000	
0.025	0.942478	1000	1000	
0.005	0.0942478	0	1000	
0.035	1.14668	1000	1000	
0.01	0.424115	46	1000	
0.02	0.0314159	0	1000	
0.01	0.188496	0	1000	
0.045	1.30376	1000	1000	
0.025	1.3823	1000	1000	
0.025	0.863938	997	1000	
0.025	1.39801	1000	1000	
0	0.109956	0	1000	
0.005	0.172788	0	1000	
0.01	1.02102	1000	1000	
0.04	1.13097	1000	1000	
0.03	1.05243	1000	1000	
0.03	0.659734	678	1000	
0.04	0.329867	0	1000	
0.015	1.13097	1000	1000	
0.015	1.30376	1000	1000	
0.02	1.20951	1000	1000	
0.03	0.942478	1000	1000	
0.03	1.47655	1000	1000	
0.045	0.455531	115	1000	
0.025	0.706858	797	1000	
0.045	0.863938	996	1000	
0.04	0.15708	0	1000	
0.045	1.33518	1000	1000	
0.02	1.31947	1000	1000	
0.015	0.471239	141	1000	
0.035	1.50796	1000	1000	
0.045	1.05243	1000	1000	
0.04	0.125664	0	1000	
0.02	0.455531	109	1000	
0.04	1.22522	1000	1000	
0.035	0.659734	647	1000	
0.005	1.31947	1000	1000	
0.045	0.015708	0	1000	
0.04	1.24093	1000	1000	
0.035	0.298451	0	1000	
0.01	0.282743	0	1000	
0.005	1.30376	1000	1000	
0.005	0.502655	220	1000	
0.02	1.41372	1000	1000	
0.02	0.76969	931	1000	
0.03	1.49226	1000	1000	
0.015	0.722566	818	1000	
0.01	1.50796	1000	1000	
0.03	0.753982	895	1000	
0	0.486947	165	1000	
0.02	0	0	1000	
0.01	1.47655	1000	1000	
0.04	1.20951	1000	1000	
0.015	0.659734	662	1000	
0.04	0.989602	1000	1000	
0.015	1.31947	1000	1000	
0.045	0.0942478	0	1000	
0.015	1.19381	1000	1000	
0.02	0.471239	152	1000	
0.035	0.015708	0	1000	
0.045	0.0314159	0	1000	
0.03	0.581195	387	1000	
0.01	0.204204	0	1000	
0.02	0.753982	897	1000	
0.005	1.02102	1000	1000	
0.035	0.0314159	0	1000	
0.04	0.84823	995	1000	
0.04	0.376991	14	1000	
0.015	0.486947	148	1000	
0	1.27235	1000	1000	
0.005	1.47655	1000	1000	
0	0.0785398	0	1000	
0.035	1.05243	1000	1000	
0.025	1.49226	1000	1000	
0.02	0.863938	996	1000	
0.02	0.581195	401	1000	
0.035	0.895354	1000	1000	
0.015	0.361283	3	1000	
0.035	0.753982	891	1000	
0.005	0.282743	0	1000	
0.03	0.141372	0	1000	
0.01	0.581195	424	1000	
0.035	0.219911	0	1000	
0.005	1.1781	1000	1000	
0.04	0.392699	27	1000	
0.045	0.502655	237	1000	
0.03	0.801106	970	1000	
0.005	0.942478	1000	1000	
0.005	0.188496	0	1000	
0	1.20951	1000	1000	
0.02	0.84823	993	1000	
0.015	0.298451	0	1000	
0.035	1.03673	1000	1000	
0	0.392699	17	1000	
0.03	0.76969	926	1000	
0.02	0.612611	500	1000	
0	0.942478	1000	1000	
0.01	0.644026	599	1000	
0.005	1.03673	1000	1000	
0.03	0.958186	1000	1000	
0.025	1.31947	1000	1000	
0	1.28805	1000	1000	
0.025	0.565487	341	1000	
0.045	1.08385	1000	1000	
0	0.235619	0	1000	
0.015	0.282743	0	1000	
0.025	0.92677	999	1000	
0.03	1.50796	1000	1000	
0.015	1.50796	1000	1000	
0.04	0.408407	37	1000	
0.005	0.549779	323	1000	
0.025	0.0471239	0	1000	
0.035	1.06814	1000	1000	
0.005	1.39801	1000	1000	
0.015	0.753982	882	1000	
0.03	0.188496	0	1000	
0.04	0.109956	0	1000	
0.035	0.282743	0	1000	
0.035	0.675442	688	1000	
0	0.92677	998	1000	
0	0.439823	82	1000	
0.005	1.33518	1000	1000	
0.045	0.958186	1000	1000	
0.035	0.863938	998	1000	
0	0.455531	116	1000	
0.015	0.738274	872	1000	
0.01	1.46084	1000	1000	
0.03	1.41372	1000	1000	
0.035	0.738274	886	1000	
0.01	0.267035	0	1000	
0.045	1.31947	1000	1000	
0.02	1.30376	1000	1000	
0.03	0.644026	603	1000	
0	0.471239	142	1000	
0.045	0.392699	20	1000	
0.015	1.22522	1000	1000	
0.04	1.14668	1000	1000	
0.005	0.92677	1000	1000	
0.025	0.486947	185	1000	
0.005	1.41372	1000	1000	
0.01	1.13097	1000	1000	
0.005	0.581195	404	1000	
0.01	1.42942	1000	1000	
0	0.0942478	0	1000	
0.04	0.0314159	0	1000	
0.045	0.251327	0	1000	
0.045	0.408407	33	1000	
0.005	1.11527	1000	1000	
0.01	1.25664	1000	1000	
0	1.02102	1000	1000	
0.04	0.015708	0	1000	
0.045	1.03673	1000	1000	
0.035	0.76969	916	1000	
0	0.911062	998	1000	
0.02	0.392699	24	1000	
0.035	1.11527	1000	1000	
0.02	0.565487	368	1000	
0.04	1.16239	1000	1000	
0.03	0.675442	703	1000	
0.04	0.942478	1000	1000	
0.035	0.235619	0	1000	
0	1.24093	1000	1000	
0.025	1.30376	1000	1000	
0	1.31947	1000	1000	
0.015	0.518363	247	1000	
0.025	1.53938	1000	1000	
0	1.30376	1000	1000	
0.02	1.44513	1000	1000	
0.015	1.52367	1000	1000	
0.01	1.39801	1000	1000	
0.045	1.22522	1000	1000	
0.005	1.00531	1000	1000	
0.01	1.20951	1000	1000	
0	0.015708	0	1000	
0.03	0.204204	0	1000	
0.045	0.125664	0	1000	
0.01	0.565487	352	1000	
0.01	1.41372	1000	1000	
0	0.408407	46	1000	
0.025	0.911062	999	1000	
0.025	0.581195	389	1000	
0.03	1.03673	1000	1000	
0.045	0.92677	1000	1000	
0.025	0.0942478	0	1000	
0.025	0.125664	0	1000	
0.025	0.659734	637	1000	
0.03	1.00531	1000	1000	
0.005	0.109956	0	1000	
0.025	0.84823	993	1000	
0.01	1.27235	1000	1000	
0.025	0.958186	1000	1000	
0.005	0.565487	385	1000	
0.045	1.09956	1000	1000	
0.04	0.314159	0	1000	
0.045	0.84823	992	1000	
0.015	0.376991	5	1000	
0.02	0.628319	556	1000	
0.01	1.03673	1000	1000	
0.025	0.109956	0	1000	
0.015	1.35088	1000	1000	
0.04	0.832522	989	1000	
0.02	1.39801	1000	1000	
0.025	0.549779	335	1000	
0.03	0.109956	0	1000	
0.04	1.00531	1000	1000	
0.005	0.298451	0	1000	
0.035	1.49226	1000	1000	
0	0.376991	11	1000	
0.02	0.486947	183	1000	
0.01	1.11527	1000	1000	
0.035	0.267035	0	1000	
0.035	0.84823	998	1000	
0.03	1.02102	1000	1000	
0.015	0.76969	931	1000	
0.04	0	0	1000	
0.035	0.0628319	0	1000	
0.02	0.832522	994	1000	
0	1.06814	1000	1000	
0.045	0.204204	0	1000	
